KEY,R3,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,HOME TYPE,ZIP,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,LAST SALE DATE,FAVORITE,INTERESTED,IS SHORT SALE,LAST SALE PRICE
150059101,101,http://www.redfin.com/CA/El-Cajon/650-Palomar-Ave-92020/home/5612650,650 PALOMAR Ave,El Cajon,CA,32.778657,-116.969775,Single Family Residential,92020,3,1,El Cajon,1032,6200,1951,4,,3/2/2016,N,Y,FALSE,345000
150065888,888,http://www.redfin.com/CA/El-Cajon/834-S-Sunshine-Ave-92020/home/5609472,834 S Sunshine Ave,El Cajon,CA,32.785223,-116.964796,Single Family Residential,92020,3,2,El Cajon,749,12000,1920,6,,3/16/2016,N,Y,FALSE,345000
150061802,802,http://www.redfin.com/CA/El-Cajon/11146-Valley-Lights-Dr-92020/home/5637714,11146 Valley Lights Dr,El Cajon,CA,32.76737,-116.950955,Single Family Residential,92020,2,2,Mount Helix,2036,,1967,6,Garage,2/17/2016,N,Y,FALSE,575000
150045172,172,http://www.redfin.com/CA/El-Cajon/729-Taft-Ave-92020/home/5614801,729 Taft,El Cajon,CA,32.786864,-116.955934,Single Family Residential,92020,6,3,El Cajon,2260,7900,1956,4,Garage,10/23/2015,N,Y,FALSE,430000
150057243,243,http://www.redfin.com/CA/El-Cajon/125-Lindell-Ave-92020/home/5609813,125 Lindell Ave,El Cajon,CA,32.785558,-116.961613,Single Family Residential,92020,3,1,El Cajon,848,,1950,6,Garage,12/8/2015,N,Y,FALSE,332000
150058733,733,http://www.redfin.com/CA/El-Cajon/780-Taft-Ave-92020/home/5614778,780 Taft St,El Cajon,CA,32.786182,-116.95654,Single Family Residential,92020,4,2,El Cajon,1770,,1958,4,Garage,12/11/2015,N,Y,FALSE,366000
150053066,66,http://www.redfin.com/CA/El-Cajon/774-Live-Oak-Dr-92020/home/5591956,774 Live Oak,El Cajon,CA,32.78555,-116.983635,Single Family Residential,92020,4,2,El Cajon,1756,12900,1954,3,Garage,12/29/2015,N,Y,FALSE,510000
150047655,655,http://www.redfin.com/CA/El-Cajon/678-Live-Oak-Dr-92020/home/5591861,678 Live Oak Dr,El Cajon,CA,32.787577,-116.982148,Single Family Residential,92020,4,2,La Mesa,2135,,1952,6,Garage,1/7/2016,N,Y,FALSE,550000
150062066,66,http://www.redfin.com/CA/El-Cajon/487-Patricia-Ln-92020/home/5609146,487 PATRICIA Ln,El Cajon,CA,32.786489,-116.967541,Single Family Residential,92020,3,2,El Cajon,1322,12700,1960,4,Garage,1/20/2016,N,Y,FALSE,415000
150065934,934,http://www.redfin.com/CA/El-Cajon/824-Taft-Ave-92020/home/5615028,824 Taft Ave,El Cajon,CA,32.785464,-116.956543,Single Family Residential,92020,3,2,El Cajon,1183,,1959,4,Garage,1/26/2016,N,Y,FALSE,323500
